dist_code,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport
D01,2023-01-01,1906,953,190,50,300,150,40,20,10,100,80,20,400,100,450,50
D01,2023-02-01,1906,953,190,50,300,150,40,20,10,100,80,20,400,100,450,50
D01,2023-03-01,1906,953,190,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-04-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-05-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-06-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-07-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-08-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-09-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-10-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-11-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2019-12-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-01-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-02-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-03-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-04-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-05-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-06-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-07-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-08-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-09-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-10-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-11-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2020-12-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-01-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-02-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-03-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-04-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-05-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-06-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-07-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-08-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-09-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-10-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-11-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2021-12-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-01-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-02-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-03-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-04-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-05-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-06-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-07-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-08-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-09-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-10-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-11-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2022-12-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2023-01-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2023-02-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D02,2023-03-01,1977,988,197,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-04-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-05-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-06-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-07-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-08-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-09-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-10-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-11-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2019-12-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-01-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-02-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-03-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-04-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-05-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-06-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-07-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-08-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-09-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-10-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-11-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2020-12-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-01-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-02-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-03-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-04-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-05-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-06-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-07-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-08-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-09-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-10-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-11-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2021-12-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-01-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-02-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-03-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-04-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-05-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-06-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-07-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-08-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-09-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-10-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-11-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2022-12-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2023-01-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2023-02-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D03,2023-03-01,1683,841,168,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-04-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-05-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-06-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-07-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-08-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-09-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-10-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-11-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2019-12-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-01-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-02-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-03-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-04-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-05-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-06-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-07-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-08-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-09-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-10-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-11-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2020-12-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-01-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-02-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-03-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-04-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-05-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-06-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-07-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-08-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-09-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-10-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-11-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2021-12-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-01-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-02-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-03-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-04-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-05-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-06-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-07-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-08-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-09-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-10-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-11-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2022-12-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2023-01-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2023-02-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D04,2023-03-01,1729,864,172,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-04-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-05-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-06-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-07-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-08-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-09-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-10-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-11-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2019-12-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-01-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-02-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-03-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-04-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-05-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-06-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-07-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-08-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-09-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-10-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-11-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2020-12-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-01-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-02-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-03-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-04-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-05-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-06-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-07-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-08-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-09-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-10-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-11-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2021-12-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-01-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-02-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-03-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-04-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-05-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-06-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-07-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-08-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-09-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-10-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-11-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2022-12-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2023-01-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2023-02-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D05,2023-03-01,1371,685,137,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-04-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-05-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-06-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-07-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-08-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-09-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-10-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-11-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2019-12-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-01-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-02-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-03-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-04-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-05-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-06-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-07-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-08-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-09-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-10-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-11-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2020-12-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-01-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-02-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-03-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-04-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-05-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-06-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-07-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-08-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-09-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-10-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-11-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2021-12-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-01-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-02-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-03-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-04-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-05-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-06-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-07-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-08-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-09-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-10-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-11-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2022-12-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2023-01-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2023-02-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D06,2023-03-01,645,322,64,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-04-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-05-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-06-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-07-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-08-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-09-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-10-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-11-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2019-12-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-01-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-02-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-03-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-04-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-05-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-06-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-07-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-08-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-09-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-10-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-11-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2020-12-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-01-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-02-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-03-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-04-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-05-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-06-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-07-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-08-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
D07,2021-09-01,1563,781,156,50,300,150,40,20,10,100,80,20,400,100,450,50
