date,fiscal_year,month,dist_code,district,vehicle_sales,registrations,permits
2022-08-01,2022,8,1,Hyderabad,9100,3676,1477
2022-09-01,2022,9,1,Hyderabad,13711,1047,2408
2022-10-01,2022,10,1,Hyderabad,14647,3003,738
2022-11-01,2022,11,1,Hyderabad,14207,4459,925
2022-12-01,2022,12,1,Hyderabad,7816,3137,2583
2023-01-01,2023,1,1,Hyderabad,7945,3097,1037
2023-02-01,2023,2,1,Hyderabad,14620,1090,2258
2023-03-01,2023,3,1,Hyderabad,9211,2009,2674
2023-04-01,2023,4,1,Hyderabad,11270,1366,2769
2023-05-01,2023,5,1,Hyderabad,7966,3381,2737
2023-06-01,2023,6,1,Hyderabad,10308,1138,2055
2023-07-01,2023,7,1,Hyderabad,10802,1789,1988
2023-08-01,2023,8,1,Hyderabad,13466,3215,1485
2023-09-01,2023,9,1,Hyderabad,9385,2334,2975
2023-10-01,2023,10,1,Hyderabad,6784,4600,2988
2023-11-01,2023,11,1,Hyderabad,8279,4508,1069
2023-12-01,2023,12,1,Hyderabad,13204,4898,1167
2019-01-01,2019,1,2,Warangal,14043,4492,2388
2019-02-01,2019,2,2,Warangal,6411,3068,1338
2019-03-01,2019,3,2,Warangal,11474,1286,2080
2019-04-01,2019,4,2,Warangal,7037,1248,783
2019-05-01,2019,5,2,Warangal,5930,1826,1468
2019-06-01,2019,6,2,Warangal,5233,4099,949
2019-07-01,2019,7,2,Warangal,7230,4169,2304
2019-08-01,2019,8,2,Warangal,6457,4401,2825
2019-09-01,2019,9,2,Warangal,6873,2133,1871
2019-10-01,2019,10,2,Warangal,10682,1040,932
2019-11-01,2019,11,2,Warangal,10650,2914,2552
2019-12-01,2019,12,2,Warangal,6291,3123,2261
2020-01-01,2020,1,2,Warangal,14360,4390,2364
2020-02-01,2020,2,2,Warangal,9423,4958,1272
2020-03-01,2020,3,2,Warangal,11471,1965,2700
2020-04-01,2020,4,2,Warangal,9619,3612,608
2020-05-01,2020,5,2,Warangal,12418,3505,2104
2020-06-01,2020,6,2,Warangal,5957,2398,1088
2020-07-01,2020,7,2,Warangal,13363,1344,2709
2020-08-01,2020,8,2,Warangal,9306,4510,627
2020-09-01,2020,9,2,Warangal,12615,4855,2789
2020-10-01,2020,10,2,Warangal,13393,2111,1977
2020-11-01,2020,11,2,Warangal,12062,3463,865
2020-12-01,2020,12,2,Warangal,5621,4079,1133
2021-01-01,2021,1,2,Warangal,5251,1336,1481
2021-02-01,2021,2,2,Warangal,10937,3903,1211
2021-03-01,2021,3,2,Warangal,5258,1880,872
2021-04-01,2021,4,2,Warangal,6726,2724,2665
2021-05-01,2021,5,2,Warangal,5651,3969,1264
2021-06-01,2021,6,2,Warangal,11898,2469,553
2021-07-01,2021,7,2,Warangal,6487,2184,2333
2021-08-01,2021,8,2,Warangal,13037,3601,837
2021-09-01,2021,9,2,Warangal,7196,4637,2090
2021-10-01,2021,10,2,Warangal,6643,1911,1397
2021-11-01,2021,11,2,Warangal,8515,3051,2323
2021-12-01,2021,12,2,Warangal,12737,2109,765
2022-01-01,2022,1,2,Warangal,12400,3706,2723
2022-02-01,2022,2,2,Warangal,5828,1951,2134
2022-03-01,2022,3,2,Warangal,5432,4468,907
2022-04-01,2022,4,2,Warangal,13752,2762,2706
2022-05-01,2022,5,2,Warangal,6038,3213,1454
2022-06-01,2022,6,2,Warangal,8391,2421,2115
2022-07-01,2022,7,2,Warangal,9523,1347,1452
2022-08-01,2022,8,2,Warangal,5907,3586,2488
2022-09-01,2022,9,2,Warangal,6198,3777,1187
2022-10-01,2022,10,2,Warangal,8783,1388,543
2022-11-01,2022,11,2,Warangal,8853,1011,1688
2022-12-01,2022,12,2,Warangal,10916,4045,1571
2023-01-01,2023,1,2,Warangal,6496,1059,888
2023-02-01,2023,2,2,Warangal,14074,2763,2639
2023-03-01,2023,3,2,Warangal,13141,3002,2300
2023-04-01,2023,4,2,Warangal,6018,2144,1567
2023-05-01,2023,5,2,Warangal,10853,2189,619
2023-06-01,2023,6,2,Warangal,7450,3008,2358
2023-07-01,2023,7,2,Warangal,9649,2691,547
2023-08-01,2023,8,2,Warangal,8595,1738,1411
2023-09-01,2023,9,2,Warangal,10456,2140,1976
2023-10-01,2023,10,2,Warangal,8624,4689,2954
2023-11-01,2023,11,2,Warangal,5331,4319,1228
2023-12-01,2023,12,2,Warangal,9139,3721,2631
2019-01-01,2019,1,3,Karimnagar,11730,3374,2699
2019-02-01,2019,2,3,Karimnagar,6912,4713,1525
2019-03-01,2019,3,3,Karimnagar,14873,3483,2796
2019-04-01,2019,4,3,Karimnagar,13866,4029,1583
2019-05-01,2019,5,3,Karimnagar,7445,1983,1983
2019-06-01,2019,6,3,Karimnagar,6619,4526,1785
2019-07-01,2019,7,3,Karimnagar,14834,2394,611
2019-08-01,2019,8,3,Karimnagar,5481,4471,2126
2019-09-01,2019,9,3,Karimnagar,5615,3232,1244
2019-10-01,2019,10,3,Karimnagar,9891,4711,2663
2019-11-01,2019,11,3,Karimnagar,14529,3736,1124
2019-12-01,2019,12,3,Karimnagar,13809,3698,1859
2020-01-01,2020,1,3,Karimnagar,6444,2350,1294
2020-02-01,2020,2,3,Karimnagar,5464,3077,1054
2020-03-01,2020,3,3,Karimnagar,7050,2093,2031
2020-04-01,2020,4,3,Karimnagar,12809,1275,1225
2020-05-01,2020,5,3,Karimnagar,10265,4043,2956
2020-06-01,2020,6,3,Karimnagar,11986,1546,2291
2020-07-01,2020,7,3,Karimnagar,10383,1784,2554
2020-08-01,2020,8,3,Karimnagar,5766,3608,2194
2020-09-01,2020,9,3,Karimnagar,6661,3575,1982
2020-10-01,2020,10,3,Karimnagar,10798,2233,943
2020-11-01,2020,11,3,Karimnagar,9469,3442,2893
2020-12-01,2020,12,3,Karimnagar,6630,4025,2181
2021-01-01,2021,1,3,Karimnagar,11113,2839,1371
2021-02-01,2021,2,3,Karimnagar,8570,1108,2795
2021-03-01,2021,3,3,Karimnagar,5191,4024,1957
2021-04-01,2021,4,3,Karimnagar,5143,2379,1170
2021-05-01,2021,5,3,Karimnagar,11803,1100,1366
2021-06-01,2021,6,3,Karimnagar,11093,3781,2748
2021-07-01,2021,7,3,Karimnagar,10571,2413,2142
2021-08-01,2021,8,3,Karimnagar,6356,3460,1325
2021-09-01,2021,9,3,Karimnagar,6962,4059,2360
2021-10-01,2021,10,3,Karimnagar,11141,2822,2109
2021-11-01,2021,11,3,Karimnagar,13130,2471,2405
2021-12-01,2021,12,3,Karimnagar,10687,2739,908
2022-01-01,2022,1,3,Karimnagar,13400,1616,1999
2022-02-01,2022,2,3,Karimnagar,11679,4600,1859
2022-03-01,2022,3,3,Karimnagar,12972,2184,2802
2022-04-01,2022,4,3,Karimnagar,9629,2936,955
2022-05-01,2022,5,3,Karimnagar,12136,1089,2364
2022-06-01,2022,6,3,Karimnagar,14415,1903,2812
2022-07-01,2022,7,3,Karimnagar,6621,1108,739
2022-08-01,2022,8,3,Karimnagar,11690,2988,2389
2022-09-01,2022,9,3,Karimnagar,13934,2485,1402
2022-10-01,2022,10,3,Karimnagar,11294,1173,2056
2022-11-01,2022,11,3,Karimnagar,13395,2658,2292
2022-12-01,2022,12,3,Karimnagar,13573,3668,1804
2023-01-01,2023,1,3,Karimnagar,10052,2610,913
2023-02-01,2023,2,3,Karimnagar,12147,4169,2219
2023-03-01,2023,3,3,Karimnagar,12471,3222,2678
2023-04-01,2023,4,3,Karimnagar,13062,3258,989
2023-05-01,2023,5,3,Karimnagar,12555,3857,2373
2023-06-01,2023,6,3,Karimnagar,6590,4974,1404
2023-07-01,2023,7,3,Karimnagar,12261,2661,1668
2023-08-01,2023,8,3,Karimnagar,13061,2566,863
2023-09-01,2023,9,3,Karimnagar,8167,4393,1903
2023-10-01,2023,10,3,Karimnagar,14049,2803,1196
2023-11-01,2023,11,3,Karimnagar,9906,3602,2895
2023-12-01,2023,12,3,Karimnagar,7225,4319,2228
2019-01-01,2019,1,4,Nizamabad,7409,2021,2590
2019-02-01,2019,2,4,Nizamabad,10414,3337,501
2019-03-01,2019,3,4,Nizamabad,13570,2669,2173
2019-04-01,2019,4,4,Nizamabad,9012,1659,1958
2019-05-01,2019,5,4,Nizamabad,14099,1253,1324
2019-06-01,2019,6,4,Nizamabad,7835,4678,1136
2019-07-01,2019,7,4,Nizamabad,5947,2283,2346
2019-08-01,2019,8,4,Nizamabad,13507,2487,2157
2019-09-01,2019,9,4,Nizamabad,12030,2610,1372
2019-10-01,2019,10,4,Nizamabad,7510,3449,2181
2019-11-01,2019,11,4,Nizamabad,12542,1101,1577
2019-12-01,2019,12,4,Nizamabad,6365,4339,671
2020-01-01,2020,1,4,Nizamabad,7645,1523,2775
2020-02-01,2020,2,4,Nizamabad,6304,1031,1491
2020-03-01,2020,3,4,Nizamabad,13316,3607,1030
2020-04-01,2020,4,4,Nizamabad,14176,4178,1510
2020-05-01,2020,5,4,Nizamabad,12606,1089,742
2020-06-01,2020,6,4,Nizamabad,10672,3975,784
2020-07-01,2020,7,4,Nizamabad,10442,4773,2926
2020-08-01,2020,8,4,Nizamabad,9192,3325,2993
2020-09-01,2020,9,4,Nizamabad,5239,3985,1562
2020-10-01,2020,10,4,Nizamabad,9238,2493,1992
2020-11-01,2020,11,4,Nizamabad,7381,1695,2448
2020-12-01,2020,12,4,Nizamabad,8575,3030,2846
2021-01-01,2021,1,4,Nizamabad,12177,1131,1889
2021-02-01,2021,2,4,Nizamabad,8517,4488,1223
2021-03-01,2021,3,4,Nizamabad,11078,3913,1824
2021-04-01,2021,4,4,Nizamabad,5999,4448,2272
2021-05-01,2021,5,4,Nizamabad,7575,4696,2011
2021-06-01,2021,6,4,Nizamabad,6587,4919,1898
2021-07-01,2021,7,4,Nizamabad,5972,4585,1947
2021-08-01,2021,8,4,Nizamabad,10455,2916,1757
2021-09-01,2021,9,4,Nizamabad,6708,1692,535
2021-10-01,2021,10,4,Nizamabad,10555,4857,1791
2021-11-01,2021,11,4,Nizamabad,8394,2440,1271
2021-12-01,2021,12,4,Nizamabad,13813,3362,2352
2022-01-01,2022,1,4,Nizamabad,6658,2791,2729
2022-02-01,2022,2,4,Nizamabad,5349,4568,1337
2022-03-01,2022,3,4,Nizamabad,5693,2832,1477
2022-04-01,2022,4,4,Nizamabad,12452,3308,1113
2022-05-01,2022,5,4,Nizamabad,11087,3708,2937
2022-06-01,2022,6,4,Nizamabad,14250,3286,519
2022-07-01,2022,7,4,Nizamabad,7205,1149,2196
2022-08-01,2022,8,4,Nizamabad,6071,1502,1745
2022-09-01,2022,9,4,Nizamabad,5990,1664,1483
2022-10-01,2022,10,4,Nizamabad,13203,4104,1746
2022-11-01,2022,11,4,Nizamabad,10856,4932,2568
2022-12-01,2022,12,4,Nizamabad,11183,1043,1988
2023-01-01,2023,1,4,Nizamabad,9609,4629,1382
2023-02-01,2023,2,4,Nizamabad,8904,2144,1212
2023-03-01,2023,3,4,Nizamabad,7019,4219,1794
2023-04-01,2023,4,4,Nizamabad,10342,4685,704
2023-05-01,2023,5,4,Nizamabad,13166,3828,2009
2023-06-01,2023,6,4,Nizamabad,6324,1355,841
2023-07-01,2023,7,4,Nizamabad,13007,3198,1604
2023-08-01,2023,8,4,Nizamabad,12227,3099,906
2023-09-01,2023,9,4,Nizamabad,13425,2671,2985
2023-10-01,2023,10,4,Nizamabad,12381,1059,1347
2023-11-01,2023,11,4,Nizamabad,10701,3751,737
2023-12-01,2023,12,4,Nizamabad,10111,3184,836
2019-01-01,2019,1,5,Khammam,6768,2700,1091
2019-02-01,2019,2,5,Khammam,13107,1695,1110
2019-03-01,2019,3,5,Khammam,10825,4177,1859
2019-04-01,2019,4,5,Khammam,9167,1722,1888
2019-05-01,2019,5,5,Khammam,8357,4668,697
2019-06-01,2019,6,5,Khammam,14436,4947,2139
2019-07-01,2019,7,5,Khammam,12164,4017,2568
2019-08-01,2019,8,5,Khammam,10709,1360,1288
2019-09-01,2019,9,5,Khammam,6167,4752,1939
2019-10-01,2019,10,5,Khammam,8968,3874,1186
2019-11-01,2019,11,5,Khammam,12369,4630,617
2019-12-01,2019,12,5,Khammam,12807,4578,1936
2020-01-01,2020,1,5,Khammam,13867,2967,1493
2020-02-01,2020,2,5,Khammam,10078,3506,2885
2020-03-01,2020,3,5,Khammam,12601,1532,1465
2020-04-01,2020,4,5,Khammam,14078,3336,2515
2020-05-01,2020,5,5,Khammam,9209,2807,2157
2020-06-01,2020,6,5,Khammam,11412,4535,1385
2020-07-01,2020,7,5,Khammam,13133,1220,1895
2020-08-01,2020,8,5,Khammam,9329,3223,1368
2020-09-01,2020,9,5,Khammam,14808,4149,1459
2020-10-01,2020,10,5,Khammam,14217,3351,1363
2020-11-01,2020,11,5,Khammam,5160,3147,861
2020-12-01,2020,12,5,Khammam,5857,3708,1589
2021-01-01,2021,1,5,Khammam,8853,3352,2352
2021-02-01,2021,2,5,Khammam,5217,3858,626
2021-03-01,2021,3,5,Khammam,8335,2913,2807
2021-04-01,2021,4,5,Khammam,11602,3905,851
2021-05-01,2021,5,5,Khammam,8420,2783,2229
2021-06-01,2021,6,5,Khammam,14565,1554,2733
2021-07-01,2021,7,5,Khammam,14876,1467,1626
2021-08-01,2021,8,5,Khammam,8892,1812,2805
2021-09-01,2021,9,5,Khammam,14981,2309,2641
2021-10-01,2021,10,5,Khammam,12608,4707,955
2021-11-01,2021,11,5,Khammam,8073,2309,1964
2021-12-01,2021,12,5,Khammam,11298,3424,2437
2022-01-01,2022,1,5,Khammam,11906,3444,1648
2022-02-01,2022,2,5,Khammam,8036,4330,2738
2022-03-01,2022,3,5,Khammam,8458,3774,2403
2022-04-01,2022,4,5,Khammam,8245,1435,2145
2022-05-01,2022,5,5,Khammam,6291,1663,2717
2022-06-01,2022,6,5,Khammam,8991,3466,2895
2022-07-01,2022,7,5,Khammam,13766,1205,1490
2022-08-01,2022,8,5,Khammam,9972,3003,1315
2022-09-01,2022,9,5,Khammam,12349,2216,1276
2022-10-01,2022,10,5,Khammam,10687,4253,1813
2022-11-01,2022,11,5,Khammam,6108,4692,1895
2022-12-01,2022,12,5,Khammam,11436,4538,2252
2023-01-01,2023,1,5,Khammam,6916,1200,1875
2023-02-01,2023,2,5,Khammam,14185,4822,1863
2023-03-01,2023,3,5,Khammam,9148,3641,2665
2023-04-01,2023,4,5,Khammam,7685,4500,660
2023-05-01,2023,5,5,Khammam,7377,1961,2512
2023-06-01,2023,6,5,Khammam,9136,4205,1773
2023-07-01,2023,7,5,Khammam,13962,3499,1022
2023-08-01,2023,8,5,Khammam,5245,1876,2774
2023-09-01,2023,9,5,Khammam,6320,2127,1796
2023-10-01,2023,10,5,Khammam,12379,4037,921
2023-11-01,2023,11,5,Khammam,6684,3463,2028
2023-12-01,2023,12,5,Khammam,7973,3036,2836
2019-01-01,2019,1,6,Adilabad,12842,1380,2997
2019-02-01,2019,2,6,Adilabad,14251,4404,2163
2019-03-01,2019,3,6,Adilabad,14009,1586,2199
2019-04-01,2019,4,6,Adilabad,7131,3292,1714
2019-05-01,2019,5,6,Adilabad,14782,4695,2706
2019-06-01,2019,6,6,Adilabad,14274,1077,1979
2019-07-01,2019,7,6,Adilabad,9969,2742,2918
2019-08-01,2019,8,6,Adilabad,13773,1286,778
2019-09-01,2019,9,6,Adilabad,12037,1900,955
2019-10-01,2019,10,6,Adilabad,9914,2685,1974
2019-11-01,2019,11,6,Adilabad,11946,3325,2964
2019-12-01,2019,12,6,Adilabad,5578,1058,2662
2020-01-01,2020,1,6,Adilabad,12260,1553,2880
2020-02-01,2020,2,6,Adilabad,13199,3235,1710
2020-03-01,2020,3,6,Adilabad,12180,2095,1974
2020-04-01,2020,4,6,Adilabad,13595,1228,1819
2020-05-01,2020,5,6,Adilabad,10308,4906,1877
2020-06-01,2020,6,6,Adilabad,9665,2089,1706
2020-07-01,2020,7,6,Adilabad,7891,3327,1329
2020-08-01,2020,8,6,Adilabad,5066,1962,554
2020-09-01,2020,9,6,Adilabad,9547,4571,2815
2020-10-01,2020,10,6,Adilabad,5135,3376,2034
2020-11-01,2020,11,6,Adilabad,9950,2720,2266
2020-12-01,2020,12,6,Adilabad,6407,1054,684
2021-01-01,2021,1,6,Adilabad,8796,2537,1765
2021-02-01,2021,2,6,Adilabad,7626,1615,536
2021-03-01,2021,3,6,Adilabad,13607,4818,991
2021-04-01,2021,4,6,Adilabad,14931,1461,1834
2021-05-01,2021,5,6,Adilabad,11162,1021,2897
2021-06-01,2021,6,6,Adilabad,13390,4267,2069
2021-07-01,2021,7,6,Adilabad,12863,2469,2020
2021-08-01,2021,8,6,Adilabad,6305,4936,2921
2021-09-01,2021,9,6,Adilabad,5239,3292,1614
2021-10-01,2021,10,6,Adilabad,5878,4169,1576
2021-11-01,2021,11,6,Adilabad,9582,3148,535
2021-12-01,2021,12,6,Adilabad,8832,4857,604
2022-01-01,2022,1,6,Adilabad,6381,1711,2194
2022-02-01,2022,2,6,Adilabad,6265,1193,2887
2022-03-01,2022,3,6,Adilabad,11111,2992,1029
2022-04-01,2022,4,6,Adilabad,10988,2450,2077
2022-05-01,2022,5,6,Adilabad,12316,1814,2244
2022-06-01,2022,6,6,Adilabad,9315,2185,1760
2022-07-01,2022,7,6,Adilabad,14100,2055,2671
2022-08-01,2022,8,6,Adilabad,5631,2720,2935
2022-09-01,2022,9,6,Adilabad,11334,4808,1074
2022-10-01,2022,10,6,Adilabad,13787,3761,2496
2022-11-01,2022,11,6,Adilabad,14063,4631,2421
2022-12-01,2022,12,6,Adilabad,8401,4376,1218
2023-01-01,2023,1,6,Adilabad,13344,1639,896
2023-02-01,2023,2,6,Adilabad,7898,2634,2637
2023-03-01,2023,3,6,Adilabad,11151,1001,2301
2023-04-01,2023,4,6,Adilabad,11672,4369,1017
2023-05-01,2023,5,6,Adilabad,13050,1708,1757
2023-06-01,2023,6,6,Adilabad,7092,3098,2404
2023-07-01,2023,7,6,Adilabad,13055,1939,1442
2023-08-01,2023,8,6,Adilabad,11152,4496,2029
2023-09-01,2023,9,6,Adilabad,7480,3183,2759
2023-10-01,2023,10,6,Adilabad,13919,3381,2577
2023-11-01,2023,11,6,Adilabad,13268,1956,2642
2023-12-01,2023,12,6,Adilabad,8739,2241,2207
2019-01-01,2019,1,7,Mahabubnagar,5679,3878,1632
2019-02-01,2019,2,7,Mahabubnagar,5488,4480,1255
2019-03-01,2019,3,7,Mahabubnagar,8803,3162,2951
2019-04-01,2019,4,7,Mahabubnagar,5727,1352,768
2019-05-01,2019,5,7,Mahabubnagar,11052,3680,2002
2019-06-01,2019,6,7,Mahabubnagar,6997,1679,1433
2019-07-01,2019,7,7,Mahabubnagar,14505,2126,779
2019-08-01,2019,8,7,Mahabubnagar,12321,3810,1938
2019-09-01,2019,9,7,Mahabubnagar,13240,4648,676
2019-10-01,2019,10,7,Mahabubnagar,7618,2345,2230
2019-11-01,2019,11,7,Mahabubnagar,12258,1581,1172
2019-12-01,2019,12,7,Mahabubnagar,10652,2284,2181
2020-01-01,2020,1,7,Mahabubnagar,7649,3857,1809
2020-02-01,2020,2,7,Mahabubnagar,5408,2116,2363
2020-03-01,2020,3,7,Mahabubnagar,7390,3259,785
2020-04-01,2020,4,7,Mahabubnagar,14563,4588,2295
2020-05-01,2020,5,7,Mahabubnagar,5593,2495,1630
2020-06-01,2020,6,7,Mahabubnagar,10166,4018,1566
2020-07-01,2020,7,7,Mahabubnagar,12135,2462,2985
2020-08-01,2020,8,7,Mahabubnagar,13455,3142,718
2020-09-01,2020,9,7,Mahabubnagar,13126,3351,1389
2020-10-01,2020,10,7,Mahabubnagar,13480,4556,1744
2020-11-01,2020,11,7,Mahabubnagar,10504,1478,2053
2020-12-01,2020,12,7,Mahabubnagar,11150,4664,1666
2021-01-01,2021,1,7,Mahabubnagar,13091,1393,2569
2021-02-01,2021,2,7,Mahabubnagar,13863,4966,1739
2021-03-01,2021,3,7,Mahabubnagar,7771,2704,1222
2021-04-01,2021,4,7,Mahabubnagar,13642,3327,1079
2021-05-01,2021,5,7,Mahabubnagar,10444,4564,820
2021-06-01,2021,6,7,Mahabubnagar,14780,3571,1695
2021-07-01,2021,7,7,Mahabubnagar,8879,4916,1671
2021-08-01,2021,8,7,Mahabubnagar,5577,3373,655
2021-09-01,2021,9,7,Mahabubnagar,14874,3167,2768
2021-10-01,2021,10,7,Mahabubnagar,11376,2397,2174
2021-11-01,2021,11,7,Mahabubnagar,5021,4090,2720
2021-12-01,2021,12,7,Mahabubnagar,13593,4053,970
2022-01-01,2022,1,7,Mahabubnagar,9956,2063,699
2022-02-01,2022,2,7,Mahabubnagar,7564,2779,756
2022-03-01,2022,3,7,Mahabubnagar,8962,2054,948
2022-04-01,2022,4,7,Mahabubnagar,7081,1901,1669
2022-05-01,2022,5,7,Mahabubnagar,9428,1541,565
2022-06-01,2022,6,7,Mahabubnagar,12982,2637,1138
2022-07-01,2022,7,7,Mahabubnagar,8978,1610,598
2022-08-01,2022,8,7,Mahabubnagar,10003,1046,1022
2022-09-01,2022,9,7,Mahabubnagar,14295,1699,1449
2022-10-01,2022,10,7,Mahabubnagar,8621,1815,1717
2022-11-01,2022,11,7,Mahabubnagar,11642,3382,2109
2022-12-01,2022,12,7,Mahabubnagar,11301,2426,1813
2023-01-01,2023,1,7,Mahabubnagar,5609,2127,1262
2023-02-01,2023,2,7,Mahabubnagar,14150,3160,1695
2023-03-01,2023,3,7,Mahabubnagar,5100,2887,770
2023-04-01,2023,4,7,Mahabubnagar,5638,1721,2927
2023-05-01,2023,5,7,Mahabubnagar,14964,1555,564
2023-06-01,2023,6,7,Mahabubnagar,7780,3266,1569
2023-07-01,2023,7,7,Mahabubnagar,8077,1221,2231
2023-08-01,2023,8,7,Mahabubnagar,13469,3268,1309
2023-09-01,2023,9,7,Mahabubnagar,9446,4014,2676
2023-10-01,2023,10,7,Mahabubnagar,11656,3461,1483
2023-11-01,2023,11,7,Mahabubnagar,7047,2261,1374
2023-12-01,2023,12,7,Mahabubnagar,13841,4833,1097
2019-01-01,2019,1,8,Nalgonda,14977,1279,889
2019-02-01,2019,2,8,Nalgonda,12322,4268,2809
2019-03-01,2019,3,8,Nalgonda,14014,4555,1177
2019-04-01,2019,4,8,Nalgonda,11594,3769,1856
2019-05-01,2019,5,8,Nalgonda,9309,3830,2960
2019-06-01,2019,6,8,Nalgonda,6464,2037,529
2019-07-01,2019,7,8,Nalgonda,8942,4216,1503
2019-08-01,2019,8,8,Nalgonda,6760,1296,2805
2019-09-01,2019,9,8,Nalgonda,6261,3183,534
2019-10-01,2019,10,8,Nalgonda,12124,3904,2815
2019-11-01,2019,11,8,Nalgonda,11112,3370,2249
2019-12-01,2019,12,8,Nalgonda,13395,4813,585
2020-01-01,2020,1,8,Nalgonda,10384,2466,969
2020-02-01,2020,2,8,Nalgonda,10765,1234,1325
2020-03-01,2020,3,8,Nalgonda,11713,3922,2260
2020-04-01,2020,4,8,Nalgonda,13701,3451,2879
2020-05-01,2020,5,8,Nalgonda,5101,1978,1381
2020-06-01,2020,6,8,Nalgonda,12902,1856,1488
2020-07-01,2020,7,8,Nalgonda,5523,3161,939
2020-08-01,2020,8,8,Nalgonda,12135,1537,2359
2020-09-01,2020,9,8,Nalgonda,10582,1186,2671
2020-10-01,2020,10,8,Nalgonda,6976,2495,2268
2020-11-01,2020,11,8,Nalgonda,12040,4192,552
2020-12-01,2020,12,8,Nalgonda,5139,1657,2020
2021-01-01,2021,1,8,Nalgonda,13912,2166,1024
2021-02-01,2021,2,8,Nalgonda,12159,2899,1498
2021-03-01,2021,3,8,Nalgonda,10838,4644,2899
2021-04-01,2021,4,8,Nalgonda,14995,2882,1871
2021-05-01,2021,5,8,Nalgonda,5256,3004,806
2021-06-01,2021,6,8,Nalgonda,9488,4132,656
2021-07-01,2021,7,8,Nalgonda,11032,3673,2464
2021-08-01,2021,8,8,Nalgonda,13259,4007,2713
2021-09-01,2021,9,8,Nalgonda,9795,2473,2221
2021-10-01,2021,10,8,Nalgonda,13034,3799,2348
2021-11-01,2021,11,8,Nalgonda,7838,4100,632
2021-12-01,2021,12,8,Nalgonda,13783,2769,825
2022-01-01,2022,1,8,Nalgonda,11544,3401,1840
2022-02-01,2022,2,8,Nalgonda,10501,1999,1574
2022-03-01,2022,3,8,Nalgonda,8339,3131,2374
2022-04-01,2022,4,8,Nalgonda,6701,3385,2113
2022-05-01,2022,5,8,Nalgonda,10918,4073,2483
2022-06-01,2022,6,8,Nalgonda,11225,1976,1743
2022-07-01,2022,7,8,Nalgonda,14358,2497,601
2022-08-01,2022,8,8,Nalgonda,11791,3952,729
2022-09-01,2022,9,8,Nalgonda,9013,2892,1200
2022-10-01,2022,10,8,Nalgonda,6583,3952,1244
2022-11-01,2022,11,8,Nalgonda,8559,1610,2815
2022-12-01,2022,12,8,Nalgonda,10772,3144,649
2023-01-01,2023,1,8,Nalgonda,9031,4749,2867
2023-02-01,2023,2,8,Nalgonda,9160,4147,1043
2023-03-01,2023,3,8,Nalgonda,12304,4118,1758
2023-04-01,2023,4,8,Nalgonda,14334,4012,2298
2023-05-01,2023,5,8,Nalgonda,13127,2936,1053
