date,fiscal_year,month,dist_code,district,companies,jobs,investment
2023-11-01,2023,11,4,Nizamabad,291,1261,29137844
2023-12-01,2023,12,4,Nizamabad,201,1889,1091242
2019-01-01,2019,1,5,Khammam,249,749,35780165
2019-02-01,2019,2,5,Khammam,143,1773,92668648
2019-03-01,2019,3,5,Khammam,233,838,54311871
2019-04-01,2019,4,5,Khammam,201,1547,81116646
2019-05-01,2019,5,5,Khammam,198,1630,98878147
2019-06-01,2019,6,5,Khammam,136,126,71495373
2019-07-01,2019,7,5,Khammam,51,1133,3483337
2019-08-01,2019,8,5,Khammam,155,1741,37590626
2019-09-01,2019,9,5,Khammam,236,237,83259565
2019-10-01,2019,10,5,Khammam,213,1560,46211829
2019-11-01,2019,11,5,Khammam,295,1384,54294014
2019-12-01,2019,12,5,Khammam,253,189,45799379
2020-01-01,2020,1,5,Khammam,164,1025,9475265
2020-02-01,2020,2,5,Khammam,144,1718,98387393
2020-03-01,2020,3,5,Khammam,258,1379,37105388
2020-04-01,2020,4,5,Khammam,225,1707,31116712
2020-05-01,2020,5,5,Khammam,294,894,76592444
2020-06-01,2020,6,5,Khammam,140,566,90791846
2020-07-01,2020,7,5,Khammam,197,405,22809404
2020-08-01,2020,8,5,Khammam,179,1707,47973487
2020-09-01,2020,9,5,Khammam,186,1988,90867536
2020-10-01,2020,10,5,Khammam,258,820,38008508
2020-11-01,2020,11,5,Khammam,106,1738,50594269
2020-12-01,2020,12,5,Khammam,262,1429,99841199
2021-01-01,2021,1,5,Khammam,139,639,1784395
2021-02-01,2021,2,5,Khammam,280,313,39978620
2021-03-01,2021,3,5,Khammam,288,1664,40814190
2021-04-01,2021,4,5,Khammam,263,1817,24156338
2021-05-01,2021,5,5,Khammam,258,986,43483833
2021-06-01,2021,6,5,Khammam,239,225,89310917
2021-07-01,2021,7,5,Khammam,80,483,97636139
2021-08-01,2021,8,5,Khammam,57,1622,37086206
2021-09-01,2021,9,5,Khammam,256,596,97747578
2021-10-01,2021,10,5,Khammam,189,1326,38852175
2021-11-01,2021,11,5,Khammam,85,1520,39567450
2021-12-01,2021,12,5,Khammam,286,1573,91893126
2022-01-01,2022,1,5,Khammam,215,1549,85968054
2022-02-01,2022,2,5,Khammam,292,1382,32379194
2022-03-01,2022,3,5,Khammam,195,423,55234246
2022-04-01,2022,4,5,Khammam,270,1518,13558367
2022-05-01,2022,5,5,Khammam,219,265,30473196
2022-06-01,2022,6,5,Khammam,237,1676,40061850
2022-07-01,2022,7,5,Khammam,189,978,16279101
2022-08-01,2022,8,5,Khammam,144,145,1389273
2022-09-01,2022,9,5,Khammam,242,969,29895820
2022-10-01,2022,10,5,Khammam,75,1599,36328700
2022-11-01,2022,11,5,Khammam,295,1275,60602088
2022-12-01,2022,12,5,Khammam,223,687,97700807
2023-01-01,2023,1,5,Khammam,70,826,44597324
2023-02-01,2023,2,5,Khammam,210,607,60094503
2023-03-01,2023,3,5,Khammam,141,1008,45481126
2023-04-01,2023,4,5,Khammam,201,209,37078940
2023-05-01,2023,5,5,Khammam,280,174,71549435
2023-06-01,2023,6,5,Khammam,114,934,17286510
2023-07-01,2023,7,5,Khammam,109,652,98147294
2023-08-01,2023,8,5,Khammam,284,525,33185153
2023-09-01,2023,9,5,Khammam,68,517,72781432
2023-10-01,2023,10,5,Khammam,53,566,30633973
2023-11-01,2023,11,5,Khammam,156,830,45107693
2023-12-01,2023,12,5,Khammam,277,1829,60975595
2019-01-01,2019,1,6,Adilabad,87,965,28551685
2019-02-01,2019,2,6,Adilabad,70,749,80469888
2019-03-01,2019,3,6,Adilabad,199,1810,8427008
2019-04-01,2019,4,6,Adilabad,62,1345,6072497
2019-05-01,2019,5,6,Adilabad,248,1795,22922506
2019-06-01,2019,6,6,Adilabad,130,625,78406820
2019-07-01,2019,7,6,Adilabad,215,1685,16298712
2019-08-01,2019,8,6,Adilabad,279,1541,48951192
2019-09-01,2019,9,6,Adilabad,238,1537,7158687
2019-10-01,2019,10,6,Adilabad,178,780,82987306
2019-11-01,2019,11,6,Adilabad,183,1590,21911343
2019-12-01,2019,12,6,Adilabad,253,797,27577055
2020-01-01,2020,1,6,Adilabad,280,1372,92696875
2020-02-01,2020,2,6,Adilabad,204,465,10683470
2020-03-01,2020,3,6,Adilabad,175,1680,83040307
2020-04-01,2020,4,6,Adilabad,58,1161,11063639
2020-05-01,2020,5,6,Adilabad,256,1780,28378549
2020-06-01,2020,6,6,Adilabad,83,201,65601430
2020-07-01,2020,7,6,Adilabad,76,365,92878729
2020-08-01,2020,8,6,Adilabad,247,436,77913544
2020-09-01,2020,9,6,Adilabad,98,1237,8101699
2020-10-01,2020,10,6,Adilabad,205,378,23231749
2020-11-01,2020,11,6,Adilabad,230,429,70364185
2020-12-01,2020,12,6,Adilabad,91,868,55594452
2021-01-01,2021,1,6,Adilabad,127,995,93506909
2021-02-01,2021,2,6,Adilabad,66,619,67724776
2021-03-01,2021,3,6,Adilabad,65,954,53433827
2021-04-01,2021,4,6,Adilabad,167,1897,76968599
2021-05-01,2021,5,6,Adilabad,248,1222,98163239
2021-06-01,2021,6,6,Adilabad,105,333,24401999
2021-07-01,2021,7,6,Adilabad,202,1096,76836877
2021-08-01,2021,8,6,Adilabad,115,1516,90565285
2021-09-01,2021,9,6,Adilabad,165,1143,53008972
2021-10-01,2021,10,6,Adilabad,92,1640,8305323
2021-11-01,2021,11,6,Adilabad,98,1201,60749922
2021-12-01,2021,12,6,Adilabad,100,970,9033808
2022-01-01,2022,1,6,Adilabad,241,1818,47250645
2022-02-01,2022,2,6,Adilabad,52,713,43269859
2022-03-01,2022,3,6,Adilabad,102,372,94291326
2022-04-01,2022,4,6,Adilabad,236,1370,36528123
2022-05-01,2022,5,6,Adilabad,261,592,34935138
2022-06-01,2022,6,6,Adilabad,63,1148,44106433
2022-07-01,2022,7,6,Adilabad,64,1738,17385279
2022-08-01,2022,8,6,Adilabad,185,1397,8897832
2022-09-01,2022,9,6,Adilabad,177,1624,28063837
2022-10-01,2022,10,6,Adilabad,77,1592,92765871
2022-11-01,2022,11,6,Adilabad,124,1405,67388024
2022-12-01,2022,12,6,Adilabad,287,1008,49544869
2023-01-01,2023,1,6,Adilabad,142,950,58691694
2023-02-01,2023,2,6,Adilabad,150,1019,36828756
2023-03-01,2023,3,6,Adilabad,95,1881,25083141
2023-04-01,2023,4,6,Adilabad,74,1628,26321107
2023-05-01,2023,5,6,Adilabad,100,1371,80677099
2023-06-01,2023,6,6,Adilabad,147,1502,41486795
2023-07-01,2023,7,6,Adilabad,102,607,69459505
2023-08-01,2023,8,6,Adilabad,173,938,25271180
2023-09-01,2023,9,6,Adilabad,209,144,36578632
2023-10-01,2023,10,6,Adilabad,234,1297,85818153
2023-11-01,2023,11,6,Adilabad,50,673,30203877
2023-12-01,2023,12,6,Adilabad,290,1811,39959883
2019-01-01,2019,1,7,Mahabubnagar,187,775,64528711
2019-02-01,2019,2,7,Mahabubnagar,269,1094,9125386
2019-03-01,2019,3,7,Mahabubnagar,256,1495,33900831
2019-04-01,2019,4,7,Mahabubnagar,122,1980,66967291
2019-05-01,2019,5,7,Mahabubnagar,127,843,90864878
2019-06-01,2019,6,7,Mahabubnagar,242,583,15806855
2019-07-01,2019,7,7,Mahabubnagar,157,324,72537880
2019-08-01,2019,8,7,Mahabubnagar,273,1824,33000185
2019-09-01,2019,9,7,Mahabubnagar,295,1775,72206152
2019-10-01,2019,10,7,Mahabubnagar,55,228,16953240
2019-11-01,2019,11,7,Mahabubnagar,91,1221,36866137
2019-12-01,2019,12,7,Mahabubnagar,137,767,82088468
2020-01-01,2020,1,7,Mahabubnagar,187,1832,41736842
2020-02-01,2020,2,7,Mahabubnagar,242,1772,64294632
2020-03-01,2020,3,7,Mahabubnagar,242,652,18209180
2020-04-01,2020,4,7,Mahabubnagar,162,1175,36064534
2020-05-01,2020,5,7,Mahabubnagar,199,1439,53810157
2020-06-01,2020,6,7,Mahabubnagar,244,967,68005626
2020-07-01,2020,7,7,Mahabubnagar,211,1532,80720033
2020-08-01,2020,8,7,Mahabubnagar,165,519,18940877
2020-09-01,2020,9,7,Mahabubnagar,219,1477,94537384
2020-10-01,2020,10,7,Mahabubnagar,110,836,23432280
2020-11-01,2020,11,7,Mahabubnagar,114,384,72032561
2020-12-01,2020,12,7,Mahabubnagar,198,532,4078333
2021-01-01,2021,1,7,Mahabubnagar,225,903,84337552
2021-02-01,2021,2,7,Mahabubnagar,271,123,96034730
2021-03-01,2021,3,7,Mahabubnagar,95,1731,45496492
2021-04-01,2021,4,7,Mahabubnagar,79,211,77868382
2021-05-01,2021,5,7,Mahabubnagar,279,1551,37822086
2021-06-01,2021,6,7,Mahabubnagar,218,761,91415997
2021-07-01,2021,7,7,Mahabubnagar,208,317,20454584
2021-08-01,2021,8,7,Mahabubnagar,215,563,50447070
2021-09-01,2021,9,7,Mahabubnagar,57,1037,20136536
2021-10-01,2021,10,7,Mahabubnagar,88,212,19300669
2021-11-01,2021,11,7,Mahabubnagar,182,1282,28458970
2021-12-01,2021,12,7,Mahabubnagar,238,1157,44920905
2022-01-01,2022,1,7,Mahabubnagar,86,153,89185976
2022-02-01,2022,2,7,Mahabubnagar,271,1273,95726612
2022-03-01,2022,3,7,Mahabubnagar,141,1493,4184958
2022-04-01,2022,4,7,Mahabubnagar,164,1974,15349625
2022-05-01,2022,5,7,Mahabubnagar,73,629,25011852
2022-06-01,2022,6,7,Mahabubnagar,84,280,42961464
2022-07-01,2022,7,7,Mahabubnagar,178,1228,17379739
2022-08-01,2022,8,7,Mahabubnagar,189,147,68623575
2022-09-01,2022,9,7,Mahabubnagar,208,578,87489442
2022-10-01,2022,10,7,Mahabubnagar,133,1219,21575168
2022-11-01,2022,11,7,Mahabubnagar,223,1021,91708307
2022-12-01,2022,12,7,Mahabubnagar,157,1681,66491710
2023-01-01,2023,1,7,Mahabubnagar,272,712,27949396
2023-02-01,2023,2,7,Mahabubnagar,145,1479,87721648
2023-03-01,2023,3,7,Mahabubnagar,213,1397,97752285
2023-04-01,2023,4,7,Mahabubnagar,174,946,20175796
2023-05-01,2023,5,7,Mahabubnagar,118,466,45985196
2023-06-01,2023,6,7,Mahabubnagar,147,1762,27599254
2023-07-01,2023,7,7,Mahabubnagar,145,1653,12899667
2023-08-01,2023,8,7,Mahabubnagar,173,614,60416105
2023-09-01,2023,9,7,Mahabubnagar,209,443,13640434
2023-10-01,2023,10,7,Mahabubnagar,205,1254,21603162
2023-11-01,2023,11,7,Mahabubnagar,232,1962,26581280
2023-12-01,2023,12,7,Mahabubnagar,236,296,28152476
2019-01-01,2019,1,8,Nalgonda,294,1773,15638351
2019-02-01,2019,2,8,Nalgonda,256,531,44213511
2019-03-01,2019,3,8,Nalgonda,89,1378,52240356
2019-04-01,2019,4,8,Nalgonda,83,831,29171984
2019-05-01,2019,5,8,Nalgonda,277,861,54671936
2019-06-01,2019,6,8,Nalgonda,62,1537,16013477
2019-07-01,2019,7,8,Nalgonda,287,1071,33718234
2019-08-01,2019,8,8,Nalgonda,235,1735,95052561
2019-09-01,2019,9,8,Nalgonda,69,1252,61517564
2019-10-01,2019,10,8,Nalgonda,57,464,8855494
2019-11-01,2019,11,8,Nalgonda,132,1193,17241704
2019-12-01,2019,12,8,Nalgonda,164,436,6738642
2020-01-01,2020,1,8,Nalgonda,69,1879,88133007
2020-02-01,2020,2,8,Nalgonda,63,719,30761776
2020-03-01,2020,3,8,Nalgonda,204,1716,57986854
2020-04-01,2020,4,8,Nalgonda,143,1423,34212238
2020-05-01,2020,5,8,Nalgonda,83,1024,67176333
2020-06-01,2020,6,8,Nalgonda,139,172,4058237
2020-07-01,2020,7,8,Nalgonda,142,1978,14946645
2020-08-01,2020,8,8,Nalgonda,249,1970,25204333
2020-09-01,2020,9,8,Nalgonda,252,914,16765730
2020-10-01,2020,10,8,Nalgonda,252,438,33900523
2020-11-01,2020,11,8,Nalgonda,284,1065,99063580
2020-12-01,2020,12,8,Nalgonda,263,1203,34388191
2021-01-01,2021,1,8,Nalgonda,90,239,51135448
2021-02-01,2021,2,8,Nalgonda,181,1083,22994772
2021-03-01,2021,3,8,Nalgonda,269,532,53488358
2021-04-01,2021,4,8,Nalgonda,211,1270,17042482
2021-05-01,2021,5,8,Nalgonda,228,1004,67267432
2021-06-01,2021,6,8,Nalgonda,232,206,9148812
2021-07-01,2021,7,8,Nalgonda,191,1017,75937546
2021-08-01,2021,8,8,Nalgonda,97,1506,49008166
2021-09-01,2021,9,8,Nalgonda,112,1034,64531040
2021-10-01,2021,10,8,Nalgonda,279,558,11512874
2021-11-01,2021,11,8,Nalgonda,113,944,66492864
2021-12-01,2021,12,8,Nalgonda,54,900,21474232
2022-01-01,2022,1,8,Nalgonda,267,249,39495581
2022-02-01,2022,2,8,Nalgonda,181,1856,92938106
2022-03-01,2022,3,8,Nalgonda,249,998,87157947
2022-04-01,2022,4,8,Nalgonda,57,1051,49179165
2022-05-01,2022,5,8,Nalgonda,285,292,19949923
2022-06-01,2022,6,8,Nalgonda,171,1038,79310077
2022-07-01,2022,7,8,Nalgonda,127,1722,78200379
2022-08-01,2022,8,8,Nalgonda,299,1751,68110518
2022-09-01,2022,9,8,Nalgonda,235,539,39315841
2022-10-01,2022,10,8,Nalgonda,230,1268,98663406
2022-11-01,2022,11,8,Nalgonda,226,1538,70815672
2022-12-01,2022,12,8,Nalgonda,287,1471,6901248
2023-01-01,2023,1,8,Nalgonda,270,1819,64621530
2023-02-01,2023,2,8,Nalgonda,127,1065,46473016
2023-03-01,2023,3,8,Nalgonda,106,1133,18942238
2023-04-01,2023,4,8,Nalgonda,259,1473,81017756
2023-05-01,2023,5,8,Nalgonda,125,1112,65677727
2023-06-01,2023,6,8,Nalgonda,70,1087,54885249
2023-07-01,2023,7,8,Nalgonda,213,1632,45163158
2023-08-01,2023,8,8,Nalgonda,168,403,87602443
2023-09-01,2023,9,8,Nalgonda,134,171,32894785
