date,fiscal_year,month,dist_code,district,vehicle_sales,registrations,permits,companies,jobs,investment,documents_registered,revenue,estamp_challans,date_id,quarter
2022-09-01,2022,9,1,Hyderabad,13711,1047,2408,204,796,25985145,31019,1741323,11982,45,Q3
2022-10-01,2022,10,1,Hyderabad,14647,3003,738,241,950,97770417,16970,4380888,11165,46,Q4
2022-11-01,2022,11,1,Hyderabad,14207,4459,925,215,113,87691384,32357,1180275,5327,47,Q4
2022-12-01,2022,12,1,Hyderabad,7816,3137,2583,246,1959,94039942,37796,2421261,10394,48,Q4
2023-01-01,2023,1,1,Hyderabad,7945,3097,1037,254,1990,41679605,14107,4160589,11812,49,Q1
2023-02-01,2023,2,1,Hyderabad,14620,1090,2258,220,474,97717300,20353,3707123,21389,50,Q1
2023-03-01,2023,3,1,Hyderabad,9211,2009,2674,294,1417,16481694,48710,7338241,19028,51,Q1
2023-04-01,2023,4,1,Hyderabad,11270,1366,2769,130,488,48760361,21212,1415375,14508,52,Q2
2023-05-01,2023,5,1,Hyderabad,7966,3381,2737,90,402,79623274,31557,4796765,19575,53,Q2
2023-06-01,2023,6,1,Hyderabad,10308,1138,2055,94,637,46016907,31971,6654561,7419,54,Q2
2023-07-01,2023,7,1,Hyderabad,10802,1789,1988,298,846,12344237,21734,8643093,22177,55,Q3
2023-08-01,2023,8,1,Hyderabad,13466,3215,1485,116,1549,10243058,38220,4003335,12259,56,Q3
2023-09-01,2023,9,1,Hyderabad,9385,2334,2975,117,1597,20777749,29983,5688681,21517,57,Q3
2023-10-01,2023,10,1,Hyderabad,6784,4600,2988,291,1380,91927981,37796,2996217,24882,58,Q4
2023-11-01,2023,11,1,Hyderabad,8279,4508,1069,199,126,3683553,35235,4022545,6792,59,Q4
2023-12-01,2023,12,1,Hyderabad,13204,4898,1167,54,714,11928030,49888,2563646,24781,60,Q4
2019-01-01,2019,1,2,Warangal,14043,4492,2388,180,925,19157609,21372,2155946,18121,1,Q1
2019-02-01,2019,2,2,Warangal,6411,3068,1338,131,1839,71234812,21699,2743986,13727,2,Q1
2019-03-01,2019,3,2,Warangal,11474,1286,2080,146,1584,15689503,45847,5728650,14706,3,Q1
2019-04-01,2019,4,2,Warangal,7037,1248,783,133,145,15924994,23096,8341522,16302,4,Q2
2019-05-01,2019,5,2,Warangal,5930,1826,1468,233,1192,52541592,46589,9011808,6811,5,Q2
2019-06-01,2019,6,2,Warangal,5233,4099,949,130,1652,89909316,19969,1260773,10527,6,Q2
2019-07-01,2019,7,2,Warangal,7230,4169,2304,284,1924,17595799,31541,6372571,24178,7,Q3
2019-08-01,2019,8,2,Warangal,6457,4401,2825,52,401,54336213,17681,3043406,10337,8,Q3
2019-09-01,2019,9,2,Warangal,6873,2133,1871,76,301,67431465,44917,3232317,24760,9,Q3
2019-10-01,2019,10,2,Warangal,10682,1040,932,178,1399,78602048,37270,1175165,24681,10,Q4
2019-11-01,2019,11,2,Warangal,10650,2914,2552,90,545,30826152,24824,2820088,8459,11,Q4
2019-12-01,2019,12,2,Warangal,6291,3123,2261,60,650,57964975,24966,1566779,9425,12,Q4
2020-01-01,2020,1,2,Warangal,14360,4390,2364,118,834,27413778,37351,1389284,6264,13,Q1
2020-02-01,2020,2,2,Warangal,9423,4958,1272,234,1053,71905537,25671,7240958,12525,14,Q1
2020-03-01,2020,3,2,Warangal,11471,1965,2700,245,1393,21067258,41113,3089165,11250,15,Q1
2020-04-01,2020,4,2,Warangal,9619,3612,608,69,177,93192118,28769,5685713,5654,16,Q2
2020-05-01,2020,5,2,Warangal,12418,3505,2104,84,948,44152891,26593,9244632,12876,17,Q2
2020-06-01,2020,6,2,Warangal,5957,2398,1088,59,1958,45235589,29667,8610478,20453,18,Q2
2020-07-01,2020,7,2,Warangal,13363,1344,2709,109,1993,10145750,42565,2207694,10853,19,Q3
2020-08-01,2020,8,2,Warangal,9306,4510,627,218,587,65750523,10168,6413690,21622,20,Q3
2020-09-01,2020,9,2,Warangal,12615,4855,2789,197,1911,70018502,35411,9320034,11844,21,Q3
2020-10-01,2020,10,2,Warangal,13393,2111,1977,256,698,37243876,26185,3864820,12620,22,Q4
2020-11-01,2020,11,2,Warangal,12062,3463,865,121,1798,46049734,21744,1958407,11990,23,Q4
2020-12-01,2020,12,2,Warangal,5621,4079,1133,203,331,8950649,14258,5479569,6354,24,Q4
2021-01-01,2021,1,2,Warangal,5251,1336,1481,56,479,69722161,40357,7948437,21265,25,Q1
2021-02-01,2021,2,2,Warangal,10937,3903,1211,236,1858,32866839,33671,1529071,16162,26,Q1
2021-03-01,2021,3,2,Warangal,5258,1880,872,128,549,34993667,33181,3896043,9248,27,Q1
2021-04-01,2021,4,2,Warangal,6726,2724,2665,207,580,53390854,25251,4999630,24016,28,Q2
2021-05-01,2021,5,2,Warangal,5651,3969,1264,133,1066,56017540,30257,4948611,20672,29,Q2
2021-06-01,2021,6,2,Warangal,11898,2469,553,58,759,30067054,21453,9925420,5467,30,Q2
2021-07-01,2021,7,2,Warangal,6487,2184,2333,110,1018,88560621,39931,7766328,24888,31,Q3
2021-08-01,2021,8,2,Warangal,13037,3601,837,235,869,61662351,11369,3544674,22282,32,Q3
2021-09-01,2021,9,2,Warangal,7196,4637,2090,149,1871,4215075,42647,6553710,9556,33,Q3
2021-10-01,2021,10,2,Warangal,6643,1911,1397,201,1732,8235880,41338,3356246,15186,34,Q4
2021-11-01,2021,11,2,Warangal,8515,3051,2323,270,1743,62787587,13214,3366937,12112,35,Q4
2021-12-01,2021,12,2,Warangal,12737,2109,765,266,1873,79438883,22694,4360235,24279,36,Q4
2022-01-01,2022,1,2,Warangal,12400,3706,2723,295,160,27367618,11673,9386095,7551,37,Q1
2022-02-01,2022,2,2,Warangal,5828,1951,2134,142,1374,28743978,15029,1920628,14877,38,Q1
2022-03-01,2022,3,2,Warangal,5432,4468,907,297,182,30557386,38149,9222243,23810,39,Q1
2022-04-01,2022,4,2,Warangal,13752,2762,2706,160,484,3045315,37530,9701768,24725,40,Q2
2022-05-01,2022,5,2,Warangal,6038,3213,1454,234,309,42537502,41956,9514009,14974,41,Q2
2022-06-01,2022,6,2,Warangal,8391,2421,2115,191,1857,76182382,43570,9862366,24711,42,Q2
2022-07-01,2022,7,2,Warangal,9523,1347,1452,281,328,89071586,20317,1233040,14388,43,Q3
2022-08-01,2022,8,2,Warangal,5907,3586,2488,177,1227,7310846,44251,6751381,16414,44,Q3
2022-09-01,2022,9,2,Warangal,6198,3777,1187,268,1131,76267965,44089,2481090,7511,45,Q3
2022-10-01,2022,10,2,Warangal,8783,1388,543,76,1725,59323187,12826,8109938,18487,46,Q4
2022-11-01,2022,11,2,Warangal,8853,1011,1688,85,1900,7352958,48098,5356062,21242,47,Q4
2022-12-01,2022,12,2,Warangal,10916,4045,1571,67,358,77062845,31094,9638986,20363,48,Q4
2023-01-01,2023,1,2,Warangal,6496,1059,888,142,1368,76781163,40549,3533872,15727,49,Q1
2023-02-01,2023,2,2,Warangal,14074,2763,2639,98,1540,62078167,26433,4323080,22082,50,Q1
2023-03-01,2023,3,2,Warangal,13141,3002,2300,194,1890,14723157,44164,3762725,23021,51,Q1
2023-04-01,2023,4,2,Warangal,6018,2144,1567,279,1042,48443073,34517,7156989,7788,52,Q2
2023-05-01,2023,5,2,Warangal,10853,2189,619,232,640,18147984,43803,3810355,16253,53,Q2
2023-06-01,2023,6,2,Warangal,7450,3008,2358,54,650,19734847,20553,2889657,13799,54,Q2
2023-07-01,2023,7,2,Warangal,9649,2691,547,104,1365,65869928,31975,5999620,21831,55,Q3
2023-08-01,2023,8,2,Warangal,8595,1738,1411,263,389,43217990,45081,4631816,23653,56,Q3
2023-09-01,2023,9,2,Warangal,10456,2140,1976,52,1060,94830258,46415,3545564,12186,57,Q3
2023-10-01,2023,10,2,Warangal,8624,4689,2954,163,1946,77977083,33509,2630428,20465,58,Q4
2023-11-01,2023,11,2,Warangal,5331,4319,1228,300,553,39808751,32356,4999777,14524,59,Q4
2023-12-01,2023,12,2,Warangal,9139,3721,2631,299,922,50591625,34084,2067313,10177,60,Q4
2019-01-01,2019,1,3,Karimnagar,11730,3374,2699,273,1605,82528502,46960,9567082,24881,1,Q1
2019-02-01,2019,2,3,Karimnagar,6912,4713,1525,120,1227,79434302,31397,7167375,19354,2,Q1
2019-03-01,2019,3,3,Karimnagar,14873,3483,2796,277,1587,43192053,41049,6552009,16860,3,Q1
2019-04-01,2019,4,3,Karimnagar,13866,4029,1583,198,1974,86907246,28949,5481445,16103,4,Q2
2019-05-01,2019,5,3,Karimnagar,7445,1983,1983,67,186,29675492,25317,8624014,20128,5,Q2
2019-06-01,2019,6,3,Karimnagar,6619,4526,1785,102,1977,64776599,40828,7914106,22321,6,Q2
2019-07-01,2019,7,3,Karimnagar,14834,2394,611,269,1681,56521696,23207,1320101,16141,7,Q3
2019-08-01,2019,8,3,Karimnagar,5481,4471,2126,229,709,82631243,13013,9673583,18981,8,Q3
2019-09-01,2019,9,3,Karimnagar,5615,3232,1244,206,657,27443721,29912,7966482,10138,9,Q3
2019-10-01,2019,10,3,Karimnagar,9891,4711,2663,115,998,71183917,35198,6813337,9166,10,Q4
2019-11-01,2019,11,3,Karimnagar,14529,3736,1124,254,935,83194197,48173,8279576,7610,11,Q4
2019-12-01,2019,12,3,Karimnagar,13809,3698,1859,136,1861,43799759,38353,3415500,21747,12,Q4
2020-01-01,2020,1,3,Karimnagar,6444,2350,1294,61,1962,43916351,25170,7437051,20684,13,Q1
2020-02-01,2020,2,3,Karimnagar,5464,3077,1054,180,1687,89323804,19133,8329377,10764,14,Q1
2020-03-01,2020,3,3,Karimnagar,7050,2093,2031,256,352,41956608,23124,3709096,17440,15,Q1
2020-04-01,2020,4,3,Karimnagar,12809,1275,1225,113,1677,56390886,17115,8700758,18409,16,Q2
2020-05-01,2020,5,3,Karimnagar,10265,4043,2956,122,175,31334139,40243,7535062,14888,17,Q2
2020-06-01,2020,6,3,Karimnagar,11986,1546,2291,147,569,86887155,45304,3141068,13555,18,Q2
2020-07-01,2020,7,3,Karimnagar,10383,1784,2554,99,288,10159269,23481,5877205,9481,19,Q3
2020-08-01,2020,8,3,Karimnagar,5766,3608,2194,232,835,45992752,42238,3973574,14910,20,Q3
2020-09-01,2020,9,3,Karimnagar,6661,3575,1982,166,1523,57482691,43981,9902679,7024,21,Q3
2020-10-01,2020,10,3,Karimnagar,10798,2233,943,89,186,58225841,44959,8896843,17136,22,Q4
2020-11-01,2020,11,3,Karimnagar,9469,3442,2893,79,1646,60483645,28896,1867804,14974,23,Q4
2020-12-01,2020,12,3,Karimnagar,6630,4025,2181,255,1868,54452793,36565,6095779,10201,24,Q4
2021-01-01,2021,1,3,Karimnagar,11113,2839,1371,114,1081,12558477,24074,9340223,6435,25,Q1
2021-02-01,2021,2,3,Karimnagar,8570,1108,2795,279,1266,76849655,43010,8358311,8822,26,Q1
2021-03-01,2021,3,3,Karimnagar,5191,4024,1957,229,245,70590745,17902,9420687,23789,27,Q1
2021-04-01,2021,4,3,Karimnagar,5143,2379,1170,214,1307,14365697,29557,1062187,9994,28,Q2
2021-05-01,2021,5,3,Karimnagar,11803,1100,1366,85,1677,79307750,34748,6750389,21494,29,Q2
2021-06-01,2021,6,3,Karimnagar,11093,3781,2748,88,549,34033132,15497,2873417,6358,30,Q2
2021-07-01,2021,7,3,Karimnagar,10571,2413,2142,186,1974,28759648,44473,2335651,7559,31,Q3
2021-08-01,2021,8,3,Karimnagar,6356,3460,1325,296,765,56488570,10228,9101081,22916,32,Q3
2021-09-01,2021,9,3,Karimnagar,6962,4059,2360,142,366,65862746,48887,5143480,14573,33,Q3
2021-10-01,2021,10,3,Karimnagar,11141,2822,2109,236,921,70835192,13116,8535783,11234,34,Q4
2021-11-01,2021,11,3,Karimnagar,13130,2471,2405,208,1786,66793964,15650,7652713,23920,35,Q4
2021-12-01,2021,12,3,Karimnagar,10687,2739,908,185,561,9085830,37430,5536360,14149,36,Q4
2022-01-01,2022,1,3,Karimnagar,13400,1616,1999,226,961,28198187,49284,7948717,17681,37,Q1
2022-02-01,2022,2,3,Karimnagar,11679,4600,1859,225,977,2936509,33470,1529608,15039,38,Q1
2022-03-01,2022,3,3,Karimnagar,12972,2184,2802,229,1733,92248011,39626,5535247,20825,39,Q1
2022-04-01,2022,4,3,Karimnagar,9629,2936,955,120,1424,25076497,16623,7102374,12449,40,Q2
2022-05-01,2022,5,3,Karimnagar,12136,1089,2364,218,392,69072489,49414,1879381,7344,41,Q2
2022-06-01,2022,6,3,Karimnagar,14415,1903,2812,59,1404,99890973,49558,8424342,5223,42,Q2
2022-07-01,2022,7,3,Karimnagar,6621,1108,739,150,1096,26317540,27094,4175928,21885,43,Q3
2022-08-01,2022,8,3,Karimnagar,11690,2988,2389,79,1378,64192055,10505,5996701,8058,44,Q3
2022-09-01,2022,9,3,Karimnagar,13934,2485,1402,71,1967,85388270,22881,4039238,13823,45,Q3
2022-10-01,2022,10,3,Karimnagar,11294,1173,2056,152,1212,66389468,38739,3981382,17690,46,Q4
2022-11-01,2022,11,3,Karimnagar,13395,2658,2292,270,402,38203755,26289,5407900,24542,47,Q4
2022-12-01,2022,12,3,Karimnagar,13573,3668,1804,267,229,36660887,15996,2943021,20709,48,Q4
2023-01-01,2023,1,3,Karimnagar,10052,2610,913,276,762,86287511,14418,8116125,8722,49,Q1
2023-02-01,2023,2,3,Karimnagar,12147,4169,2219,275,1193,41235728,21266,7847240,5864,50,Q1
2023-03-01,2023,3,3,Karimnagar,12471,3222,2678,84,1379,93566497,15628,1519127,11657,51,Q1
2023-04-01,2023,4,3,Karimnagar,13062,3258,989,268,1724,28130605,38426,6483606,7925,52,Q2
2023-05-01,2023,5,3,Karimnagar,12555,3857,2373,258,1169,28811429,11873,3874863,20913,53,Q2
2023-06-01,2023,6,3,Karimnagar,6590,4974,1404,166,1175,40898619,41890,2081623,5852,54,Q2
2023-07-01,2023,7,3,Karimnagar,12261,2661,1668,211,1953,72856969,28544,4307322,22642,55,Q3
2023-08-01,2023,8,3,Karimnagar,13061,2566,863,225,1376,70083609,22205,7690187,10397,56,Q3
2023-09-01,2023,9,3,Karimnagar,8167,4393,1903,181,1757,43304476,26857,5504345,5679,57,Q3
2023-10-01,2023,10,3,Karimnagar,14049,2803,1196,244,133,28750725,21780,5653987,24793,58,Q4
2023-11-01,2023,11,3,Karimnagar,9906,3602,2895,135,881,83818485,43750,4878294,13065,59,Q4
2023-12-01,2023,12,3,Karimnagar,7225,4319,2228,191,232,30195759,46133,8719129,6369,60,Q4
2019-01-01,2019,1,4,Nizamabad,7409,2021,2590,126,1700,54128897,10889,3201798,6071,1,Q1
2019-02-01,2019,2,4,Nizamabad,10414,3337,501,158,1144,85667542,45262,7083668,14160,2,Q1
2019-03-01,2019,3,4,Nizamabad,13570,2669,2173,241,1747,26764648,42405,4723105,19229,3,Q1
2019-04-01,2019,4,4,Nizamabad,9012,1659,1958,65,1849,90343712,37773,8380627,6386,4,Q2
2019-05-01,2019,5,4,Nizamabad,14099,1253,1324,298,1391,10470295,23318,2129154,23755,5,Q2
2019-06-01,2019,6,4,Nizamabad,7835,4678,1136,174,1411,55174556,48551,3730943,24245,6,Q2
2019-07-01,2019,7,4,Nizamabad,5947,2283,2346,242,1183,5998591,31639,5288821,24994,7,Q3
2019-08-01,2019,8,4,Nizamabad,13507,2487,2157,245,1947,77584792,48929,3404984,22299,8,Q3
2019-09-01,2019,9,4,Nizamabad,12030,2610,1372,55,1020,66536066,35839,3883864,14724,9,Q3
2019-10-01,2019,10,4,Nizamabad,7510,3449,2181,189,1603,78929217,41370,6306953,19725,10,Q4
2019-11-01,2019,11,4,Nizamabad,12542,1101,1577,208,541,22914079,16274,5003870,10010,11,Q4
2019-12-01,2019,12,4,Nizamabad,6365,4339,671,117,907,86665904,30470,1308463,10481,12,Q4
2020-01-01,2020,1,4,Nizamabad,7645,1523,2775,286,1465,35885694,29927,2126014,15709,13,Q1
2020-02-01,2020,2,4,Nizamabad,6304,1031,1491,103,703,77154201,38937,1310242,23916,14,Q1
2020-03-01,2020,3,4,Nizamabad,13316,3607,1030,63,1650,47469247,48966,3173505,14208,15,Q1
2020-04-01,2020,4,4,Nizamabad,14176,4178,1510,162,1099,23640258,14036,9183084,24437,16,Q2
2020-05-01,2020,5,4,Nizamabad,12606,1089,742,275,1630,78502398,15692,5587024,22071,17,Q2
2020-06-01,2020,6,4,Nizamabad,10672,3975,784,275,1965,16131820,11067,8309563,9092,18,Q2
2020-07-01,2020,7,4,Nizamabad,10442,4773,2926,260,1256,61614471,26726,6788547,9108,19,Q3
2020-08-01,2020,8,4,Nizamabad,9192,3325,2993,255,1847,3701691,47478,3385302,17572,20,Q3
2020-09-01,2020,9,4,Nizamabad,5239,3985,1562,124,963,47963698,38042,4147989,5361,21,Q3
2020-10-01,2020,10,4,Nizamabad,9238,2493,1992,128,338,40594825,41962,5169755,17864,22,Q4
2020-11-01,2020,11,4,Nizamabad,7381,1695,2448,69,794,36571212,44917,8831392,17873,23,Q4
2020-12-01,2020,12,4,Nizamabad,8575,3030,2846,113,725,68399233,45800,8548074,20318,24,Q4
2021-01-01,2021,1,4,Nizamabad,12177,1131,1889,223,186,29582059,25699,4822553,14680,25,Q1
2021-02-01,2021,2,4,Nizamabad,8517,4488,1223,188,1163,62403912,10512,5746821,11258,26,Q1
2021-03-01,2021,3,4,Nizamabad,11078,3913,1824,213,1282,97519603,17362,5264147,20298,27,Q1
2021-04-01,2021,4,4,Nizamabad,5999,4448,2272,79,533,37185043,35489,3086930,12151,28,Q2
2021-05-01,2021,5,4,Nizamabad,7575,4696,2011,245,1553,73684677,41402,1793317,10086,29,Q2
2021-06-01,2021,6,4,Nizamabad,6587,4919,1898,110,303,86785462,32332,4188352,16501,30,Q2
2021-07-01,2021,7,4,Nizamabad,5972,4585,1947,92,1315,51371520,29795,4149306,12148,31,Q3
2021-08-01,2021,8,4,Nizamabad,10455,2916,1757,225,1365,25673564,36010,9587700,12967,32,Q3
2021-09-01,2021,9,4,Nizamabad,6708,1692,535,164,872,8847857,28000,1307814,8087,33,Q3
2021-10-01,2021,10,4,Nizamabad,10555,4857,1791,285,256,95055009,16360,5869048,11765,34,Q4
2021-11-01,2021,11,4,Nizamabad,8394,2440,1271,249,956,31715494,41323,8219325,10390,35,Q4
2021-12-01,2021,12,4,Nizamabad,13813,3362,2352,220,1256,45316950,44598,9414764,15701,36,Q4
2022-01-01,2022,1,4,Nizamabad,6658,2791,2729,161,1541,44516529,31151,9598396,24610,37,Q1
2022-02-01,2022,2,4,Nizamabad,5349,4568,1337,143,525,90694364,33186,7518341,18789,38,Q1
2022-03-01,2022,3,4,Nizamabad,5693,2832,1477,63,1691,48846767,35344,2607329,15847,39,Q1
2022-04-01,2022,4,4,Nizamabad,12452,3308,1113,71,696,12691930,46268,5512417,10970,40,Q2
2022-05-01,2022,5,4,Nizamabad,11087,3708,2937,293,1057,96193822,46253,8284348,20101,41,Q2
2022-06-01,2022,6,4,Nizamabad,14250,3286,519,128,674,44844676,14845,6137716,15386,42,Q2
2022-07-01,2022,7,4,Nizamabad,7205,1149,2196,256,991,19518313,29080,6786949,10740,43,Q3
2022-08-01,2022,8,4,Nizamabad,6071,1502,1745,227,1258,61429355,43637,2657389,17821,44,Q3
2022-09-01,2022,9,4,Nizamabad,5990,1664,1483,238,841,51274303,12389,4135197,17074,45,Q3
2022-10-01,2022,10,4,Nizamabad,13203,4104,1746,114,1841,51007856,29303,8601077,14685,46,Q4
2022-11-01,2022,11,4,Nizamabad,10856,4932,2568,101,1364,54317447,15581,1123735,12984,47,Q4
2022-12-01,2022,12,4,Nizamabad,11183,1043,1988,191,1339,35610574,34504,9374950,15857,48,Q4
2023-01-01,2023,1,4,Nizamabad,9609,4629,1382,297,1808,2458908,35189,3592171,7388,49,Q1
2023-02-01,2023,2,4,Nizamabad,8904,2144,1212,139,413,87191288,37410,7059271,10279,50,Q1
2023-03-01,2023,3,4,Nizamabad,7019,4219,1794,157,258,33390418,11810,8994241,7930,51,Q1
2023-04-01,2023,4,4,Nizamabad,10342,4685,704,246,1415,7884613,11179,3569923,19986,52,Q2
2023-05-01,2023,5,4,Nizamabad,13166,3828,2009,112,985,5814886,27719,3361568,12846,53,Q2
2023-06-01,2023,6,4,Nizamabad,6324,1355,841,126,1065,77848912,22623,4777536,16285,54,Q2
2023-07-01,2023,7,4,Nizamabad,13007,3198,1604,132,1457,19462556,20453,2074198,6938,55,Q3
2023-08-01,2023,8,4,Nizamabad,12227,3099,906,269,1832,37947746,41003,2239090,19266,56,Q3
2023-09-01,2023,9,4,Nizamabad,13425,2671,2985,281,571,94036331,25851,2557205,22648,57,Q3
2023-10-01,2023,10,4,Nizamabad,12381,1059,1347,218,832,8479935,49596,3867762,7067,58,Q4
2023-11-01,2023,11,4,Nizamabad,10701,3751,737,291,1261,29137844,24936,5646457,17930,59,Q4
2023-12-01,2023,12,4,Nizamabad,10111,3184,836,201,1889,1091242,39388,6981328,18822,60,Q4
2019-01-01,2019,1,5,Khammam,6768,2700,1091,249,749,35780165,11055,5561730,21114,1,Q1
2019-02-01,2019,2,5,Khammam,13107,1695,1110,143,1773,92668648,44443,6931892,16062,2,Q1
2019-03-01,2019,3,5,Khammam,10825,4177,1859,233,838,54311871,18730,3367415,8834,3,Q1
2019-04-01,2019,4,5,Khammam,9167,1722,1888,201,1547,81116646,45010,7472473,9061,4,Q2
2019-05-01,2019,5,5,Khammam,8357,4668,697,198,1630,98878147,16065,2626991,17746,5,Q2
2019-06-01,2019,6,5,Khammam,14436,4947,2139,136,126,71495373,48545,1200399,6793,6,Q2
2019-07-01,2019,7,5,Khammam,12164,4017,2568,51,1133,3483337,47554,6897033,7026,7,Q3
2019-08-01,2019,8,5,Khammam,10709,1360,1288,155,1741,37590626,29956,4096150,16860,8,Q3
2019-09-01,2019,9,5,Khammam,6167,4752,1939,236,237,83259565,16045,8976536,19438,9,Q3
2019-10-01,2019,10,5,Khammam,8968,3874,1186,213,1560,46211829,45295,9543376,18961,10,Q4
2019-11-01,2019,11,5,Khammam,12369,4630,617,295,1384,54294014,16412,4356505,21940,11,Q4
2019-12-01,2019,12,5,Khammam,12807,4578,1936,253,189,45799379,30246,2595618,23078,12,Q4
2020-01-01,2020,1,5,Khammam,13867,2967,1493,164,1025,9475265,38690,8339461,11012,13,Q1
2020-02-01,2020,2,5,Khammam,10078,3506,2885,144,1718,98387393,23163,2002247,20321,14,Q1
2020-03-01,2020,3,5,Khammam,12601,1532,1465,258,1379,37105388,47681,1883222,9247,15,Q1
2020-04-01,2020,4,5,Khammam,14078,3336,2515,225,1707,31116712,45758,8559577,15439,16,Q2
2020-05-01,2020,5,5,Khammam,9209,2807,2157,294,894,76592444,46053,2130320,10828,17,Q2
