date,fiscal_year,month,dist_code,district,documents_registered,revenue,estamp_challans
2021-03-01,2021,3,3,Karimnagar,17902,9420687,23789
2021-04-01,2021,4,3,Karimnagar,29557,1062187,9994
2021-05-01,2021,5,3,Karimnagar,34748,6750389,21494
2021-06-01,2021,6,3,Karimnagar,15497,2873417,6358
2021-07-01,2021,7,3,Karimnagar,44473,2335651,7559
2021-08-01,2021,8,3,Karimnagar,10228,9101081,22916
2021-09-01,2021,9,3,Karimnagar,48887,5143480,14573
2021-10-01,2021,10,3,Karimnagar,13116,8535783,11234
2021-11-01,2021,11,3,Karimnagar,15650,7652713,23920
2021-12-01,2021,12,3,Karimnagar,37430,5536360,14149
2022-01-01,2022,1,3,Karimnagar,49284,7948717,17681
2022-02-01,2022,2,3,Karimnagar,33470,1529608,15039
2022-03-01,2022,3,3,Karimnagar,39626,5535247,20825
2022-04-01,2022,4,3,Karimnagar,16623,7102374,12449
2022-05-01,2022,5,3,Karimnagar,49414,1879381,7344
2022-06-01,2022,6,3,Karimnagar,49558,8424342,5223
2022-07-01,2022,7,3,Karimnagar,27094,4175928,21885
2022-08-01,2022,8,3,Karimnagar,10505,5996701,8058
2022-09-01,2022,9,3,Karimnagar,22881,4039238,13823
2022-10-01,2022,10,3,Karimnagar,38739,3981382,17690
2022-11-01,2022,11,3,Karimnagar,26289,5407900,24542
2022-12-01,2022,12,3,Karimnagar,15996,2943021,20709
2023-01-01,2023,1,3,Karimnagar,14418,8116125,8722
2023-02-01,2023,2,3,Karimnagar,21266,7847240,5864
2023-03-01,2023,3,3,Karimnagar,15628,1519127,11657
2023-04-01,2023,4,3,Karimnagar,38426,6483606,7925
2023-05-01,2023,5,3,Karimnagar,11873,3874863,20913
2023-06-01,2023,6,3,Karimnagar,41890,2081623,5852
2023-07-01,2023,7,3,Karimnagar,28544,4307322,22642
2023-08-01,2023,8,3,Karimnagar,22205,7690187,10397
2023-09-01,2023,9,3,Karimnagar,26857,5504345,5679
2023-10-01,2023,10,3,Karimnagar,21780,5653987,24793
2023-11-01,2023,11,3,Karimnagar,43750,4878294,13065
2023-12-01,2023,12,3,Karimnagar,46133,8719129,6369
2019-01-01,2019,1,4,Nizamabad,10889,3201798,6071
2019-02-01,2019,2,4,Nizamabad,45262,7083668,14160
2019-03-01,2019,3,4,Nizamabad,42405,4723105,19229
2019-04-01,2019,4,4,Nizamabad,37773,8380627,6386
2019-05-01,2019,5,4,Nizamabad,23318,2129154,23755
2019-06-01,2019,6,4,Nizamabad,48551,3730943,24245
2019-07-01,2019,7,4,Nizamabad,31639,5288821,24994
2019-08-01,2019,8,4,Nizamabad,48929,3404984,22299
2019-09-01,2019,9,4,Nizamabad,35839,3883864,14724
2019-10-01,2019,10,4,Nizamabad,41370,6306953,19725
2019-11-01,2019,11,4,Nizamabad,16274,5003870,10010
2019-12-01,2019,12,4,Nizamabad,30470,1308463,10481
2020-01-01,2020,1,4,Nizamabad,29927,2126014,15709
2020-02-01,2020,2,4,Nizamabad,38937,1310242,23916
2020-03-01,2020,3,4,Nizamabad,48966,3173505,14208
2020-04-01,2020,4,4,Nizamabad,14036,9183084,24437
2020-05-01,2020,5,4,Nizamabad,15692,5587024,22071
2020-06-01,2020,6,4,Nizamabad,11067,8309563,9092
2020-07-01,2020,7,4,Nizamabad,26726,6788547,9108
2020-08-01,2020,8,4,Nizamabad,47478,3385302,17572
2020-09-01,2020,9,4,Nizamabad,38042,4147989,5361
2020-10-01,2020,10,4,Nizamabad,41962,5169755,17864
2020-11-01,2020,11,4,Nizamabad,44917,8831392,17873
2020-12-01,2020,12,4,Nizamabad,45800,8548074,20318
2021-01-01,2021,1,4,Nizamabad,25699,4822553,14680
2021-02-01,2021,2,4,Nizamabad,10512,5746821,11258
2021-03-01,2021,3,4,Nizamabad,17362,5264147,20298
2021-04-01,2021,4,4,Nizamabad,35489,3086930,12151
2021-05-01,2021,5,4,Nizamabad,41402,1793317,10086
2021-06-01,2021,6,4,Nizamabad,32332,4188352,16501
2021-07-01,2021,7,4,Nizamabad,29795,4149306,12148
2021-08-01,2021,8,4,Nizamabad,36010,9587700,12967
2021-09-01,2021,9,4,Nizamabad,28000,1307814,8087
2021-10-01,2021,10,4,Nizamabad,16360,5869048,11765
2021-11-01,2021,11,4,Nizamabad,41323,8219325,10390
2021-12-01,2021,12,4,Nizamabad,44598,9414764,15701
2022-01-01,2022,1,4,Nizamabad,31151,9598396,24610
2022-02-01,2022,2,4,Nizamabad,33186,7518341,18789
2022-03-01,2022,3,4,Nizamabad,35344,2607329,15847
2022-04-01,2022,4,4,Nizamabad,46268,5512417,10970
2022-05-01,2022,5,4,Nizamabad,46253,8284348,20101
2022-06-01,2022,6,4,Nizamabad,14845,6137716,15386
2022-07-01,2022,7,4,Nizamabad,29080,6786949,10740
2022-08-01,2022,8,4,Nizamabad,43637,2657389,17821
2022-09-01,2022,9,4,Nizamabad,12389,4135197,17074
2022-10-01,2022,10,4,Nizamabad,29303,8601077,14685
2022-11-01,2022,11,4,Nizamabad,15581,1123735,12984
2022-12-01,2022,12,4,Nizamabad,34504,9374950,15857
2023-01-01,2023,1,4,Nizamabad,35189,3592171,7388
2023-02-01,2023,2,4,Nizamabad,37410,7059271,10279
2023-03-01,2023,3,4,Nizamabad,11810,8994241,7930
2023-04-01,2023,4,4,Nizamabad,11179,3569923,19986
2023-05-01,2023,5,4,Nizamabad,27719,3361568,12846
2023-06-01,2023,6,4,Nizamabad,22623,4777536,16285
2023-07-01,2023,7,4,Nizamabad,20453,2074198,6938
2023-08-01,2023,8,4,Nizamabad,41003,2239090,19266
2023-09-01,2023,9,4,Nizamabad,25851,2557205,22648
2023-10-01,2023,10,4,Nizamabad,49596,3867762,7067
2023-11-01,2023,11,4,Nizamabad,24936,5646457,17930
2023-12-01,2023,12,4,Nizamabad,39388,6981328,18822
2019-01-01,2019,1,5,Khammam,11055,5561730,21114
2019-02-01,2019,2,5,Khammam,44443,6931892,16062
2019-03-01,2019,3,5,Khammam,18730,3367415,8834
2019-04-01,2019,4,5,Khammam,45010,7472473,9061
2019-05-01,2019,5,5,Khammam,16065,2626991,17746
2019-06-01,2019,6,5,Khammam,48545,1200399,6793
2019-07-01,2019,7,5,Khammam,47554,6897033,7026
2019-08-01,2019,8,5,Khammam,29956,4096150,16860
2019-09-01,2019,9,5,Khammam,16045,8976536,19438
2019-10-01,2019,10,5,Khammam,45295,9543376,18961
2019-11-01,2019,11,5,Khammam,16412,4356505,21940
2019-12-01,2019,12,5,Khammam,30246,2595618,23078
2020-01-01,2020,1,5,Khammam,38690,8339461,11012
2020-02-01,2020,2,5,Khammam,23163,2002247,20321
2020-03-01,2020,3,5,Khammam,47681,1883222,9247
2020-04-01,2020,4,5,Khammam,45758,8559577,15439
2020-05-01,2020,5,5,Khammam,46053,2130320,10828
2020-06-01,2020,6,5,Khammam,10954,7645925,10331
2020-07-01,2020,7,5,Khammam,21013,5078563,15140
2020-08-01,2020,8,5,Khammam,10746,5013087,15363
2020-09-01,2020,9,5,Khammam,20505,3276726,8750
2020-10-01,2020,10,5,Khammam,29141,6176269,10489
2020-11-01,2020,11,5,Khammam,16850,6178270,16272
2020-12-01,2020,12,5,Khammam,14467,6075456,6951
2021-01-01,2021,1,5,Khammam,46197,7687688,5542
2021-02-01,2021,2,5,Khammam,15237,5994873,15426
2021-03-01,2021,3,5,Khammam,46164,8721948,13474
2021-04-01,2021,4,5,Khammam,19865,5795497,6145
2021-05-01,2021,5,5,Khammam,49044,7813337,14013
2021-06-01,2021,6,5,Khammam,21548,4169591,23552
2021-07-01,2021,7,5,Khammam,42545,6358954,16288
2021-08-01,2021,8,5,Khammam,46822,7153669,12574
2021-09-01,2021,9,5,Khammam,28311,5349882,20692
2021-10-01,2021,10,5,Khammam,36426,4667924,11068
2021-11-01,2021,11,5,Khammam,33914,7876215,16498
2021-12-01,2021,12,5,Khammam,35167,8580053,8950
2022-01-01,2022,1,5,Khammam,36990,6657183,6013
2022-02-01,2022,2,5,Khammam,22678,1502775,14420
2022-03-01,2022,3,5,Khammam,14155,7703849,15359
2022-04-01,2022,4,5,Khammam,22073,3299628,21660
2022-05-01,2022,5,5,Khammam,45087,3538864,15545
2022-06-01,2022,6,5,Khammam,20940,4742128,6247
2022-07-01,2022,7,5,Khammam,37845,9549695,10274
2022-08-01,2022,8,5,Khammam,44651,2726383,8289
2022-09-01,2022,9,5,Khammam,33436,4045754,19090
2022-10-01,2022,10,5,Khammam,30438,9706020,9277
2022-11-01,2022,11,5,Khammam,38548,3117822,11027
2022-12-01,2022,12,5,Khammam,14578,8710179,23797
2023-01-01,2023,1,5,Khammam,29191,3230192,11108
2023-02-01,2023,2,5,Khammam,29560,1908032,7712
2023-03-01,2023,3,5,Khammam,42516,8837382,19428
2023-04-01,2023,4,5,Khammam,12196,3240543,17714
2023-05-01,2023,5,5,Khammam,43020,2201339,15609
2023-06-01,2023,6,5,Khammam,14782,1253886,6060
2023-07-01,2023,7,5,Khammam,40816,6508736,23089
2023-08-01,2023,8,5,Khammam,47723,3884618,15951
2023-09-01,2023,9,5,Khammam,46107,9764370,8843
2023-10-01,2023,10,5,Khammam,41491,2694085,9128
2023-11-01,2023,11,5,Khammam,43912,5790137,9533
2023-12-01,2023,12,5,Khammam,10128,8869538,18842
2019-01-01,2019,1,6,Adilabad,13028,2044783,17936
2019-02-01,2019,2,6,Adilabad,14382,3184862,24406
2019-03-01,2019,3,6,Adilabad,37145,2565544,14489
2019-04-01,2019,4,6,Adilabad,14652,6760261,7625
2019-05-01,2019,5,6,Adilabad,30643,3098497,12244
2019-06-01,2019,6,6,Adilabad,42000,7788634,9002
2019-07-01,2019,7,6,Adilabad,48869,3123817,11699
2019-08-01,2019,8,6,Adilabad,16796,2052019,24702
2019-09-01,2019,9,6,Adilabad,35388,1471534,12468
2019-10-01,2019,10,6,Adilabad,17063,5043740,13852
2019-11-01,2019,11,6,Adilabad,19017,4418615,13427
2019-12-01,2019,12,6,Adilabad,38617,5955661,17582
2020-01-01,2020,1,6,Adilabad,33703,6844836,18893
2020-02-01,2020,2,6,Adilabad,12564,3382426,20977
2020-03-01,2020,3,6,Adilabad,38226,4790698,8070
2020-04-01,2020,4,6,Adilabad,41483,6198882,9769
2020-05-01,2020,5,6,Adilabad,13140,3346562,16577
2020-06-01,2020,6,6,Adilabad,47315,6554041,11554
2020-07-01,2020,7,6,Adilabad,47273,3546216,17495
2020-08-01,2020,8,6,Adilabad,15249,3719653,23387
2020-09-01,2020,9,6,Adilabad,36260,3855730,24523
2020-10-01,2020,10,6,Adilabad,38236,9241298,9698
2020-11-01,2020,11,6,Adilabad,25063,4627503,9035
2020-12-01,2020,12,6,Adilabad,35241,4775218,13794
2021-01-01,2021,1,6,Adilabad,31336,6768251,21090
2021-02-01,2021,2,6,Adilabad,14133,3150954,10704
2021-03-01,2021,3,6,Adilabad,49175,9729578,5811
2021-04-01,2021,4,6,Adilabad,39395,6443905,20837
2021-05-01,2021,5,6,Adilabad,39688,8562595,13180
2021-06-01,2021,6,6,Adilabad,30206,5609426,12937
2021-07-01,2021,7,6,Adilabad,20623,5694651,13737
2021-08-01,2021,8,6,Adilabad,34520,7920490,19614
2021-09-01,2021,9,6,Adilabad,29194,5130245,10167
2021-10-01,2021,10,6,Adilabad,23432,5866568,13501
2021-11-01,2021,11,6,Adilabad,24507,1009240,18052
2021-12-01,2021,12,6,Adilabad,45118,8741758,16142
2022-01-01,2022,1,6,Adilabad,48757,5588940,15085
2022-02-01,2022,2,6,Adilabad,16080,1536016,7388
2022-03-01,2022,3,6,Adilabad,37924,1342437,7369
2022-04-01,2022,4,6,Adilabad,27125,6269178,19254
2022-05-01,2022,5,6,Adilabad,20057,9307283,13875
2022-06-01,2022,6,6,Adilabad,49659,1974745,23249
2022-07-01,2022,7,6,Adilabad,22748,7217767,17291
2022-08-01,2022,8,6,Adilabad,24114,8733449,5779
2022-09-01,2022,9,6,Adilabad,43307,7734407,11012
2022-10-01,2022,10,6,Adilabad,21660,2112052,7040
2022-11-01,2022,11,6,Adilabad,12801,1136185,23626
2022-12-01,2022,12,6,Adilabad,17236,5597814,12104
2023-01-01,2023,1,6,Adilabad,21937,8192439,5250
2023-02-01,2023,2,6,Adilabad,25385,7682264,7901
2023-03-01,2023,3,6,Adilabad,21086,9203952,15499
2023-04-01,2023,4,6,Adilabad,20319,8137944,18689
2023-05-01,2023,5,6,Adilabad,12518,4892664,8171
2023-06-01,2023,6,6,Adilabad,17620,8077617,20536
2023-07-01,2023,7,6,Adilabad,27380,3988051,24982
2023-08-01,2023,8,6,Adilabad,36855,2494812,6581
2023-09-01,2023,9,6,Adilabad,46506,3031876,23761
2023-10-01,2023,10,6,Adilabad,32663,8395995,19990
2023-11-01,2023,11,6,Adilabad,49699,6992937,9593
2023-12-01,2023,12,6,Adilabad,28541,2087438,12011
2019-01-01,2019,1,7,Mahabubnagar,24547,6797634,12960
2019-02-01,2019,2,7,Mahabubnagar,47419,2201360,19628
2019-03-01,2019,3,7,Mahabubnagar,46587,1594800,10591
2019-04-01,2019,4,7,Mahabubnagar,37993,6633418,9857
2019-05-01,2019,5,7,Mahabubnagar,49207,1522125,13213
2019-06-01,2019,6,7,Mahabubnagar,31444,8846736,14194
2019-07-01,2019,7,7,Mahabubnagar,37679,3435494,12667
2019-08-01,2019,8,7,Mahabubnagar,40039,4596886,15580
2019-09-01,2019,9,7,Mahabubnagar,15633,8793784,6363
2019-10-01,2019,10,7,Mahabubnagar,35678,3441398,22653
2019-11-01,2019,11,7,Mahabubnagar,46950,6164143,13044
2019-12-01,2019,12,7,Mahabubnagar,28848,4831512,10863
2020-01-01,2020,1,7,Mahabubnagar,22454,1479371,17354
2020-02-01,2020,2,7,Mahabubnagar,37649,4575198,10448
2020-03-01,2020,3,7,Mahabubnagar,22815,8876920,22457
2020-04-01,2020,4,7,Mahabubnagar,16029,5411045,5984
2020-05-01,2020,5,7,Mahabubnagar,31264,9705268,12500
2020-06-01,2020,6,7,Mahabubnagar,48932,3152915,23361
2020-07-01,2020,7,7,Mahabubnagar,21847,7031306,9177
2020-08-01,2020,8,7,Mahabubnagar,43100,8039877,8094
2020-09-01,2020,9,7,Mahabubnagar,31745,1693073,14929
2020-10-01,2020,10,7,Mahabubnagar,44815,9689326,9439
2020-11-01,2020,11,7,Mahabubnagar,20009,3046896,5413
2020-12-01,2020,12,7,Mahabubnagar,37997,2447315,7230
2021-01-01,2021,1,7,Mahabubnagar,16894,4147927,20963
2021-02-01,2021,2,7,Mahabubnagar,18234,8359057,9944
2021-03-01,2021,3,7,Mahabubnagar,33826,2249607,16669
2021-04-01,2021,4,7,Mahabubnagar,47372,9640048,9165
2021-05-01,2021,5,7,Mahabubnagar,14323,4349958,11504
2021-06-01,2021,6,7,Mahabubnagar,49759,6635831,8694
2021-07-01,2021,7,7,Mahabubnagar,38027,6745112,15239
2021-08-01,2021,8,7,Mahabubnagar,42189,3834095,22633
2021-09-01,2021,9,7,Mahabubnagar,12164,7903034,13265
2021-10-01,2021,10,7,Mahabubnagar,34876,4562230,5253
2021-11-01,2021,11,7,Mahabubnagar,49816,9976260,15177
2021-12-01,2021,12,7,Mahabubnagar,23389,1358349,7652
2022-01-01,2022,1,7,Mahabubnagar,27533,3372183,16075
2022-02-01,2022,2,7,Mahabubnagar,49255,8089950,21792
2022-03-01,2022,3,7,Mahabubnagar,23969,6977501,19794
2022-04-01,2022,4,7,Mahabubnagar,14177,7500199,23551
2022-05-01,2022,5,7,Mahabubnagar,23483,2646731,20577
2022-06-01,2022,6,7,Mahabubnagar,26527,8744948,19267
2022-07-01,2022,7,7,Mahabubnagar,41102,3590140,24877
2022-08-01,2022,8,7,Mahabubnagar,49198,9478408,5903
2022-09-01,2022,9,7,Mahabubnagar,31457,4355568,17727
2022-10-01,2022,10,7,Mahabubnagar,36024,6712254,9958
2022-11-01,2022,11,7,Mahabubnagar,11487,7899055,21753
2022-12-01,2022,12,7,Mahabubnagar,13814,7989759,17359
2023-01-01,2023,1,7,Mahabubnagar,27282,3514700,22088
2023-02-01,2023,2,7,Mahabubnagar,28939,6836174,10039
2023-03-01,2023,3,7,Mahabubnagar,14827,9778192,10553
2023-04-01,2023,4,7,Mahabubnagar,38605,6129534,19455
2023-05-01,2023,5,7,Mahabubnagar,28735,1490629,10484
2023-06-01,2023,6,7,Mahabubnagar,48560,2505424,24024
2023-07-01,2023,7,7,Mahabubnagar,17271,9679954,20935
2023-08-01,2023,8,7,Mahabubnagar,29138,1443043,23524
2023-09-01,2023,9,7,Mahabubnagar,15299,7306222,6714
2023-10-01,2023,10,7,Mahabubnagar,15725,3581177,16446
2023-11-01,2023,11,7,Mahabubnagar,25279,9201306,17597
2023-12-01,2023,12,7,Mahabubnagar,13851,5599542,8823
2019-01-01,2019,1,8,Nalgonda,31133,9289998,7003
2019-02-01,2019,2,8,Nalgonda,41288,7817735,11898
2019-03-01,2019,3,8,Nalgonda,48005,2566420,7078
2019-04-01,2019,4,8,Nalgonda,15026,9346148,13710
2019-05-01,2019,5,8,Nalgonda,34792,9404039,16886
2019-06-01,2019,6,8,Nalgonda,44486,4860957,18098
2019-07-01,2019,7,8,Nalgonda,43384,9606295,24890
2019-08-01,2019,8,8,Nalgonda,31190,2039090,11870
2019-09-01,2019,9,8,Nalgonda,31541,9948606,16901
2019-10-01,2019,10,8,Nalgonda,42985,5423057,14657
2019-11-01,2019,11,8,Nalgonda,29559,9431153,6958
2019-12-01,2019,12,8,Nalgonda,25385,5698678,5427
2020-01-01,2020,1,8,Nalgonda,38931,5915768,7552
2020-02-01,2020,2,8,Nalgonda,33235,9245841,10356
2020-03-01,2020,3,8,Nalgonda,26641,6970884,13929
2020-04-01,2020,4,8,Nalgonda,22896,6885587,9014
2020-05-01,2020,5,8,Nalgonda,10687,8345751,10658
2020-06-01,2020,6,8,Nalgonda,47358,9086086,21033
2020-07-01,2020,7,8,Nalgonda,10048,9921308,8946
2020-08-01,2020,8,8,Nalgonda,42453,6473886,11895
2020-09-01,2020,9,8,Nalgonda,44435,2081813,20951
2020-10-01,2020,10,8,Nalgonda,21645,4012443,23969
2020-11-01,2020,11,8,Nalgonda,40772,9095950,22031
2020-12-01,2020,12,8,Nalgonda,25031,3349853,17893
2021-01-01,2021,1,8,Nalgonda,39212,1342723,17578
2021-02-01,2021,2,8,Nalgonda,13883,5220960,17274
2021-03-01,2021,3,8,Nalgonda,29910,3349711,22135
2021-04-01,2021,4,8,Nalgonda,15411,2333464,18194
2021-05-01,2021,5,8,Nalgonda,43280,3010229,10775
2021-06-01,2021,6,8,Nalgonda,42694,3192192,10421
2021-07-01,2021,7,8,Nalgonda,30611,8903960,23244
2021-08-01,2021,8,8,Nalgonda,10654,5273926,15048
2021-09-01,2021,9,8,Nalgonda,34812,8682900,16025
2021-10-01,2021,10,8,Nalgonda,32325,8203800,12748
2021-11-01,2021,11,8,Nalgonda,11285,6529028,13743
